example_id,thread_id,customer_message,customer_clean_text,total_turns,thread_type,resolution_category,flag_pushed_to_dm,initial_brand_reply,candidate_intent,is_quality_subset,trivial_predicted_intent,trivial_drafted_reply,trivial_escalation_action,simple_predicted_intent,simple_drafted_reply,simple_escalation_action,simple_escalation_reasons,system_predicted_intent,system_confidence,system_risk_tier,system_retrieved_precedents,system_top_similarity,system_drafted_reply,system_insufficient_context,system_escalation_action,system_escalation_reasons,human_true_intent,human_should_escalate,human_notes,human_quality_helpfulness,human_quality_tone,human_quality_grounding,human_quality_conciseness,human_quality_notes,llm_judge_helpfulness,llm_judge_tone,llm_judge_grounding,llm_judge_conciseness,llm_judge_rationale
0,246514,"@AppleSupport Today... I was chatting and my bat was at 28 locked and 3 minutes later was about to reply, 10% then opened to twitted it Boom 2%","Today... I was chatting and my bat was at 28 locked and 3 minutes later was about to reply, 10% then opened to twitted it Boom 2%",9,multi_turn,likely_pushed_to_dm,True,Thanks for letting us know. Please DM us so that we can continue troubleshooting together.,account_access_security,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,account_access_security,We understand how important account security is. Please head over to https://iforgot.apple.com to safely reset your Apple ID password or follow verification steps.,escalate,Simple baseline: high-risk intent detected (account_access_security),account_access_security,0.1913,high,"[{""rank"": 1, ""similarity_score"": 0.5594, ""customer_text"": ""It gets stuck sideways and it will go up to previous messages and not show me the latest until I close the app and reopen."", ""brand_reply"": ""Got it. Which device are you experiencing this on? Let us know in DM, and we'll go from there."", ""thread_id"": ""13207""}, {""rank"": 2, ""similarity_score"": 0.551, ""customer_text"": ""Well it froze as I was ordering a pizza so I had to. And now it’s already to 49%"", ""brand_reply"": ""We'd like to offer our help. Please shoot us a DM and we'll explore the battery challenge."", ""thread_id"": ""11092""}, {""rank"": 3, ""similarity_score"": 0.5388, ""customer_text"": ""iMessage &amp; snapchat"", ""brand_reply"": ""Thanks for letting us know. Send us a DM and we'll do everything we can to get your keyboard back on track."", ""thread_id"": ""9847""}]",0.5594,"We'd be glad to help with this. Got it. Which device are you experiencing this on? Let us know in DM, and we'll go from there.",False,escalate,"Intent 'account_access_security' has risk tier 'high', requiring human agent review.; Classifier confidence (0.19) is below acceptable threshold (0.65).",,,,,,,,,,,,,
1,48044,"@AppleSupport Hi, I've just reset my phone and restored from icloud but none of my apps are downloading.","Hi, I've just reset my phone and restored from icloud but none of my apps are downloading.",2,single_turn,resolved_on_platform,False,We are here to help you get your apps back. Are you connected to Wi-Fi? Did other things such as your Messages come back?,account_access_security,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,account_access_security,We understand how important account security is. Please head over to https://iforgot.apple.com to safely reset your Apple ID password or follow verification steps.,escalate,Simple baseline: high-risk intent detected (account_access_security),account_access_security,0.1957,high,"[{""rank"": 1, ""similarity_score"": 0.6528, ""customer_text"": ""Since I updated my iPhone I can’t download apps now. Thanks 🙄🙄🙄"", ""brand_reply"": ""Are you on the latest iOS 11.1 version?"", ""thread_id"": ""11633""}, {""rank"": 2, ""similarity_score"": 0.6341, ""customer_text"": ""it’s been doing this for two days... cmon"", ""brand_reply"": ""We're anxious for you to have access to your downloads. Have you had a chance to restart the iPhone? If not, let's do that now."", ""thread_id"": ""13938""}, {""rank"": 3, ""similarity_score"": 0.612, ""customer_text"": ""I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists."", ""brand_reply"": ""We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there."", ""thread_id"": ""4879""}]",0.6528,We'd be glad to help with this. Are you on the latest iOS 11.1 version?,False,escalate,"Intent 'account_access_security' has risk tier 'high', requiring human agent review.; Classifier confidence (0.20) is below acceptable threshold (0.65).",,,,,,,,,,,,,
2,304452,"@AppleSupport thnx to the update, I haven’t had service the last 2 days. Nothing on the support page helps. Great update🙄","thnx to the update, I haven’t had service the last 2 days. Nothing on the support page helps. Great update🙄",2,single_turn,resolved_on_platform,False,"We'll help in any way we can. Are you getting a ""Searching"" icon in the top left? Which carrier are you using?",os_update_battery_drain,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,os_update_battery_drain,We're here to help. Check Settings > Battery > Battery Health to inspect your maximum capacity and see which apps consume the most energy. Let us know what you see.,auto_handle,,connectivity_network_bluetooth,0.22,medium,"[{""rank"": 1, ""similarity_score"": 0.6842, ""customer_text"": ""after updating to ios 11.1 I have no service, displays no service. reset networking settings does nothing"", ""brand_reply"": ""We'd like to see what we can do to assist. DM us and we'll continue from there."", ""thread_id"": ""13933""}, {""rank"": 2, ""similarity_score"": 0.6683, ""customer_text"": ""The newest update. I️ made sure to download it yesterday."", ""brand_reply"": ""Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there."", ""thread_id"": ""697""}, {""rank"": 3, ""similarity_score"": 0.6548, ""customer_text"": ""still happening, including on iOS 11.2 beta now. any ideas?"", ""brand_reply"": ""Thanks for the update. Go ahead and send us a DM and we'll take it from there."", ""thread_id"": ""3776""}]",0.6842,We'd be glad to help with this. We'd like to see what we can do to assist. DM us and we'll continue from there.,False,escalate,Classifier confidence (0.22) is below acceptable threshold (0.65).,,,,,,,,,,,,,
3,259423,@AppleSupport update notification on setting icon won't disappear after updating my 6S plus to 10.3.3,update notification on setting icon won't disappear after updating my 6S plus to 10.3.3,2,single_turn,likely_pushed_to_dm,True,Hi there. We'd like to go over some information that may help resolve that issue. Please meet us in DM.,os_update_battery_drain,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,os_update_battery_drain,We're here to help. Check Settings > Battery > Battery Health to inspect your maximum capacity and see which apps consume the most energy. Let us know what you see.,auto_handle,,os_update_battery_drain,0.2184,medium,"[{""rank"": 1, ""similarity_score"": 0.677, ""customer_text"": ""Dear team, after update my iPhone 6 Plus its hang in the Apple logo screen."", ""brand_reply"": ""Don't worry, we've got you covered! Check out the steps listed here:"", ""thread_id"": ""13584""}, {""rank"": 2, ""similarity_score"": 0.6754, ""customer_text"": ""Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up."", ""brand_reply"": ""We're here for you. DM us, and we'll look into this together."", ""thread_id"": ""2678""}, {""rank"": 3, ""similarity_score"": 0.6574, ""customer_text"": ""After update #ios1103 no spotify on my lock screen?"", ""brand_reply"": ""Thanks for reaching out to us. Are you experiencing the missing app after restating your device?"", ""thread_id"": ""765""}]",0.677,"We'd be glad to help with this. Don't worry, we've got you covered! Check out the steps listed here:",False,escalate,Classifier confidence (0.22) is below acceptable threshold (0.65).,,,,,,,,,,,,,
4,255551,"@AppleSupport I tried turning if off in the control center and in settings, but it keeps turning back on.","I tried turning if off in the control center and in settings, but it keeps turning back on.",3,multi_turn,likely_pushed_to_dm,True,Send us a DM and we'll continue from there.,how_to_feature_inquiry,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,how_to_feature_inquiry,You can discover step-by-step guides and settings tips for iOS features directly in the Apple Support app or at https://support.apple.com.,auto_handle,,how_to_feature_inquiry,0.2093,low,"[{""rank"": 1, ""similarity_score"": 0.585, ""customer_text"": ""live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update."", ""brand_reply"": ""Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there."", ""thread_id"": ""2684""}, {""rank"": 2, ""similarity_score"": 0.5594, ""customer_text"": ""And why is my music NEVER in my control center?!"", ""brand_reply"": ""We're here to help out! Which device is this on and which version of iOS is currently installed?"", ""thread_id"": ""2632""}, {""rank"": 3, ""similarity_score"": 0.5532, ""customer_text"": ""Restarting does resolve the issue. Thanks."", ""brand_reply"": ""We're glad to hear that resolved the issue. Don't hesitate to reach out to us if you have any questions. Take care."", ""thread_id"": ""4877""}]",0.585,"We'd be glad to help with this. Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there.",False,escalate,Classifier confidence (0.21) is below acceptable threshold (0.65).,,,,,,,,,,,,,
5,145280,@AppleSupport It’s only on the right side of my screen. And I do have a case on it (spigen). I also have a screen protector,It’s only on the right side of my screen. And I do have a case on it (spigen). I also have a screen protector,2,single_turn,likely_pushed_to_dm,True,Thanks for confirming. Let's go ahead and remove the case to see if you can reproduce the issue or notice any issues with the device. Let us know what you find via DM.,hardware_physical_damage,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,hardware_physical_damage,"For physical hardware diagnostics and screen repair pricing, visit https://getsupport.apple.com to find your nearest authorized service provider or schedule a Genius Bar appointment.",auto_handle,,hardware_physical_damage,0.2839,medium,"[{""rank"": 1, ""similarity_score"": 0.5709, ""customer_text"": ""would love to know why my pictures look like this when I take a picture 😡"", ""brand_reply"": ""We would love to help you with this! Is this the front or rear facing camera? Which device and iOS version?"", ""thread_id"": ""11122""}, {""rank"": 2, ""similarity_score"": 0.5657, ""customer_text"": ""it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone"", ""brand_reply"": ""Thanks for clarifying. Let's meet in DM so we can do more in-depth on this."", ""thread_id"": ""1768""}, {""rank"": 3, ""similarity_score"": 0.5615, ""customer_text"": ""Does the person you send it too also have to have a iPhone to see this?I see it on my phone."", ""brand_reply"": ""Great question. They must have a device with iOS 10 or later. Here's some more information:"", ""thread_id"": ""9198""}]",0.5709,We'd be glad to help with this. We would love to help you with this! Is this the front or rear facing camera? Which device and iOS version?,False,escalate,Classifier confidence (0.28) is below acceptable threshold (0.65).,,,,,,,,,,,,,
6,122344,Hi @AppleSupport I’m having an issue with the dictation on my Apple Watch as suddenly tooked the EN voice recognition instead of the ES I have configured on the phone and on the app on the phone I’m trying to use. Any idea?,Hi I’m having an issue with the dictation on my Apple Watch as suddenly tooked the EN voice recognition instead of the ES I have configured on the phone and on the app on the phone I’m trying to use. Any idea?,7,multi_turn,unresolved_followup,False,"Great! We're glad to see you were able to locate the issue. Let us know if you have any other questions, we'd be happy to help. Have a great rest of your evening!",other_general_inquiry,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,other_general_inquiry,Thanks for contacting @AppleSupport! How can we help you today? Please let us know your device model and iOS version.,escalate,"Simple baseline: keyword absence (unrecognized intent, confidence < 0.65); Simple baseline: urgent keywords detected: sue",how_to_feature_inquiry,0.1787,low,"[{""rank"": 1, ""similarity_score"": 0.5848, ""customer_text"": ""I have updated my WatchOS but cannot stream the radio on LTE () . Wi Fi (both tethered and direct from watch) works"", ""brand_reply"": ""You're in the right place for help. Let us know in a DM if the issue started randomly or since you first setup the Watch."", ""thread_id"": ""13949""}, {""rank"": 2, ""similarity_score"": 0.5764, ""customer_text"": ""watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless."", ""brand_reply"": ""You should still be able to control Music on your iPhone from the watch. Check out the user guide here:"", ""thread_id"": ""2620""}, {""rank"": 3, ""similarity_score"": 0.5748, ""customer_text"": ""If I️ type letter “eye” it does this. I️"", ""brand_reply"": ""Please DM us with the iOS version showing in Settings &gt; General &gt; About. We're eager to look into what's going on."", ""thread_id"": ""12574""}]",0.5848,We'd be glad to help with this. You're in the right place for help. Let us know in a DM if the issue started randomly or since you first setup the Watch.,False,escalate,Classifier confidence (0.18) is below acceptable threshold (0.65).,,,,,,,,,,,,,
7,81965,@AppleSupport is Night Shift intentionally not a control center button on iPhone X?,is Night Shift intentionally not a control center button on iPhone X?,2,single_turn,resolved_on_platform,False,Congratulations on your iPhone X. Night Shift is a great feature we all use. We'd recommend checking out this article to learn how to activate this feature with your new device:,hardware_physical_damage,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,hardware_physical_damage,"For physical hardware diagnostics and screen repair pricing, visit https://getsupport.apple.com to find your nearest authorized service provider or schedule a Genius Bar appointment.",auto_handle,,how_to_feature_inquiry,0.1871,low,"[{""rank"": 1, ""similarity_score"": 0.634, ""customer_text"": ""And why is my music NEVER in my control center?!"", ""brand_reply"": ""We're here to help out! Which device is this on and which version of iOS is currently installed?"", ""thread_id"": ""2632""}, {""rank"": 2, ""similarity_score"": 0.6017, ""customer_text"": ""The app is still there. But no longer able to control it from the lockscreen."", ""brand_reply"": ""Just to confirm, this is only happening with Spotify, correct?"", ""thread_id"": ""763""}, {""rank"": 3, ""similarity_score"": 0.5746, ""customer_text"": ""why iOS Keyboard looks weird in Landscape mode i was typing like nfjfhfbd wanzkdejfc c #fallontonight Help me!!"", ""brand_reply"": ""Let's work together to figure out what's happening with the keyboard on your iOS device. Send us a DM with what type of device you're using, along with your specific iOS version. We'll continue working with you there."", ""thread_id"": ""14231""}]",0.634,We'd be glad to help with this. We're here to help out! Which device is this on and which version of iOS is currently installed?,False,escalate,Classifier confidence (0.19) is below acceptable threshold (0.65).,,,,,,,,,,,,,
8,295926,"@AppleSupport iOS 11 is buggy AF! Apps- buggy, Messenger-buggy. Cumbersome home screen swipe menus. Can I go back ? Is this my life now?!","iOS 11 is buggy AF! Apps- buggy, Messenger-buggy. Cumbersome home screen swipe menus. Can I go back ? Is this my life now?!",2,single_turn,resolved_on_platform,False,That's not the experience we want you to have. Which device and iOS 11 version are you running?,hardware_physical_damage,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,hardware_physical_damage,"For physical hardware diagnostics and screen repair pricing, visit https://getsupport.apple.com to find your nearest authorized service provider or schedule a Genius Bar appointment.",auto_handle,,cancellation_churn_complaint,0.1851,high,"[{""rank"": 1, ""similarity_score"": 0.7328, ""customer_text"": ""MY HOME BUTTON DOESN’T WORK #IOS11"", ""brand_reply"": ""Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?"", ""thread_id"": ""756""}, {""rank"": 2, ""similarity_score"": 0.7232, ""customer_text"": ""iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x"", ""brand_reply"": ""We'll make sure to get this straightened out. DM us, and we'll see you there."", ""thread_id"": ""1772""}, {""rank"": 3, ""similarity_score"": 0.7189, ""customer_text"": ""IOS 11 has been a nightmare since I downloaded it. Battery SOC is all over the board and slower than ever before"", ""brand_reply"": ""That should not be happening. We'd be happy to help. Which iOS version are you currently using? You can check in Settings &gt; General &gt; About."", ""thread_id"": ""14212""}]",0.7328,We'd be glad to help with this. Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,False,escalate,"Intent 'cancellation_churn_complaint' has risk tier 'high', requiring human agent review.; Classifier confidence (0.19) is below acceptable threshold (0.65).",,,,,,,,,,,,,
9,31911,"@AppleSupport After updating to 10.13.1 to fix freeze issues of High Sierra, I went to a complete black screen. Test product before release","After updating to 10.13.1 to fix freeze issues of High Sierra, I went to a complete black screen. Test product before release",2,single_turn,likely_pushed_to_dm,True,We want to help. Are you still seeing a blank black screen on your Mac? Send us a DM.,hardware_physical_damage,True,os_update_battery_drain,Thanks for reaching out to @AppleSupport. Please restart your device and ensure you have the latest software update installed. You can also visit https://support.apple.com for troubleshooting.,escalate,hardware_physical_damage,"For physical hardware diagnostics and screen repair pricing, visit https://getsupport.apple.com to find your nearest authorized service provider or schedule a Genius Bar appointment.",escalate,Simple baseline: urgent keywords detected: sue,hardware_physical_damage,0.242,medium,"[{""rank"": 1, ""similarity_score"": 0.6631, ""customer_text"": ""Dear this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !"", ""brand_reply"": ""Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started."", ""thread_id"": ""5821""}, {""rank"": 2, ""similarity_score"": 0.6478, ""customer_text"": ""Yes it did, 11.0.3"", ""brand_reply"": ""We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how:"", ""thread_id"": ""754""}, {""rank"": 3, ""similarity_score"": 0.6261, ""customer_text"": ""not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus"", ""brand_reply"": ""Let's look at this together. Are you updated to iOS 11.1?"", ""thread_id"": ""3764""}]",0.6631,We'd be glad to help with this. Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.,False,escalate,Classifier confidence (0.24) is below acceptable threshold (0.65).,,,,,,,,,,,,,
